City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Hobart,AU,-42.8794,147.3294,75.06,33,0,16.11,clear sky
141,Lebu,CL,-37.6167,-73.65,56.05,92,3,16.55,clear sky
142,Sao Filipe,CV,14.8961,-24.4956,71.11,79,97,8.12,overcast clouds
143,North Platte,US,41.1239,-100.7654,15.69,57,1,7.0,clear sky
144,Manokwari,ID,-0.8667,134.0833,83.98,67,66,2.44,broken clouds
145,Asyut,EG,27.181,31.1837,48.38,58,0,3.96,clear sky
146,Ambovombe,MG,-25.1667,46.0833,67.96,76,100,11.79,overcast clouds
147,Ponta Do Sol,PT,32.6667,-17.1,68.0,87,87,16.15,overcast clouds
148,Vila,PT,42.0304,-8.1588,40.33,82,87,4.54,overcast clouds
149,Santiago De Cuba,CU,20.0247,-75.8219,79.52,78,20,5.75,few clouds
150,Uberlandia,BR,-18.9186,-48.2772,72.61,83,40,2.3,scattered clouds
151,Hithadhoo,MV,-0.6,73.0833,82.02,72,100,2.39,overcast clouds
152,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
153,Camargo,MX,27.6667,-105.1667,58.17,59,23,4.34,few clouds
154,Russell,US,32.3502,-85.1999,65.97,94,90,0.0,heavy intensity rain
155,Nemuro,JP,43.3236,145.575,21.63,48,12,12.33,few clouds
156,Gat,IL,31.61,34.7642,56.39,29,5,10.4,clear sky
157,Tukrah,LY,32.5341,20.5791,52.03,64,90,19.71,overcast clouds
158,Raton,US,36.9034,-104.4391,28.58,43,1,4.61,clear sky
159,Souillac,MU,-20.5167,57.5167,73.36,78,0,2.73,clear sky
160,Nizhneivkino,RU,58.194,49.5214,5.25,99,94,1.03,overcast clouds
161,Smithers,CA,54.7804,-127.1743,5.32,85,1,0.0,clear sky
162,Yermakovskoye,RU,53.2831,92.4003,25.43,75,99,12.5,overcast clouds
163,Sakiai,LT,54.9547,23.0358,39.45,93,100,17.34,overcast clouds
164,Raga,SS,8.4596,25.678,71.22,28,82,5.82,broken clouds
165,Bluff,NZ,-46.6,168.3333,77.81,65,34,13.06,scattered clouds
166,Geraldton,AU,-28.7667,114.6,77.13,46,0,12.66,clear sky
167,Berlevag,NO,70.8578,29.0864,29.48,82,100,24.38,overcast clouds
168,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,25.61,snow
169,Truckee,US,39.328,-120.1833,37.2,94,90,0.0,fog
170,Merritt Island,US,28.5392,-80.672,77.09,87,1,5.75,clear sky
171,Sambava,MG,-14.2667,50.1667,74.95,91,21,3.62,few clouds
172,Khatanga,RU,71.9667,102.5,-19.61,95,100,3.96,overcast clouds
173,San Patricio,US,28.017,-97.5169,60.78,74,80,18.57,broken clouds
